,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
Luke Kuechly Car - LB,12.52,11.98,12.34,12.57,11.91,12.74,,12.79,12.44,12.4,12.88,12.11,12.55,12.73,13.51,12.57,12.48,0
Lavonte David TB - LB,10.79,11.34,10.87,11.26,10.6,,10.72,10.94,11.4,11.38,10.21,11.24,11.56,11.61,10.64,10.94,11.3,0
Telvin Smith Jax - LB,10.38,12.08,10.43,10.07,,11.23,10.36,11.13,10.88,10.86,11.52,11.71,10.66,10.42,12.09,10.43,10.82,0
DeAndre Levy Det - LB,10.31,10.14,10.8,10.5,10.76,10.53,11.08,11.32,10.34,,10.19,10.35,10.93,10.69,12,10.55,10.35,0
Alec Ogletree LA - LB,9.89,10.46,9.7,10.89,10.9,10.68,11.93,,10.42,10.27,10.04,10.72,10.58,10.45,10.53,9.89,10.64,0
NaVorro Bowman SF - LB,10.06,10.6,11.22,10.78,10.14,10.33,9.99,,10.86,10.81,9.74,9.4,10.76,9.65,10.61,9.87,10.55,0
D'Qwell Jackson Ind - LB,10.6,10.84,10.97,9.2,10.6,10.88,10,10.43,10.07,,10.26,10.44,10.03,10.68,9.98,10.01,9.75,0
Jamie Collins NE - LB,10.5,10.56,10.76,9.72,9.74,9.97,10.29,10.43,,10.3,9.65,10.07,9.84,9.97,10.05,10.07,9.61,0
Sean Lee Dal - LB,10.04,11.37,10.1,10.16,9.99,9.72,,9.95,9.52,9.94,9.93,10.27,9.75,11.35,9.47,10.04,9.73,0
Derrick Johnson KC - LB,10.32,11.22,10.19,9.9,,9.72,9.9,9.66,9.26,9.93,9.21,10.06,9.98,9.32,9.41,9.61,10.44,0
Bobby Wagner Sea - LB,9.5,9.67,9.7,9.84,,9.79,10.13,10.12,9.71,9.73,9.94,9.83,9.74,9.62,9.73,10.02,9.32,0
Deone Bucannon Ari - S,9.59,9.76,9.52,9.51,9.5,9.39,9.46,9.44,,9.01,9.24,9.44,9.71,9,9.74,9.53,9.41,0
Reshad Jones Mia - S,9.48,9.47,8.88,9.2,9.16,9.36,9.2,,9.3,10.25,9.4,9.45,9.02,9.6,9.17,9.2,9.24,0
C.J. Mosley Bal - LB,9.04,9.36,8.47,8.86,9.48,10.87,9.34,,9.13,8.93,9.55,9.22,8.8,9.4,9.18,9.52,9.46,0
Lawrence Timmons Pit - LB,9.57,9.49,9.28,8.86,9.1,8.81,9.4,,8.97,9.28,8.85,8.82,10.46,9.1,9.13,9.27,9.12,0
Ryan Shazier Pit - LB,9.58,9.53,9.29,8.87,9.11,8.82,9.42,,8.98,9.3,8.85,8.83,10.48,9.1,9.15,9.29,8.9,0
Brandon Marshall Den - LB,9.21,9.59,8.87,9.24,9.37,9.93,9.45,9.52,9,9.44,,9.22,8.26,8.99,9.36,8.79,8.96,0
Jordan Hicks Phi - LB,8.88,8.97,9.16,,9.23,9.28,9.06,9.31,9.09,9.44,9.04,8.86,9.1,10.24,9.01,9.13,9.16,0
Eric Kendricks Min - LB,8.85,9.14,8.49,10.48,9.26,,9.07,9.03,9.16,9.99,9.43,9.14,9.09,8.56,8.7,8.88,9.11,0
Tyrann Mathieu Ari - S,8.98,9.11,8.82,8.93,8.91,8.83,8.87,8.82,,8.52,8.69,8.83,9.09,8.5,9.1,8.87,8.83,0
Mark Barron LA - LBS,8.37,8.81,8.19,9.07,9.05,8.94,9.87,,8.73,8.65,8.49,9.01,8.9,8.8,8.79,8.37,8.97,0
J.J. Watt Hou - DE,0,10.65,8.94,9.33,8.86,8.94,9.25,9.62,,8.48,9.02,9.67,9.16,8.86,9.19,9.27,10.27,0
Karlos Dansby Cin - LB,8.79,9,8.71,8.47,8.64,8.47,8.31,8.83,,9.74,8.39,8.35,8.57,8.25,8.52,9.18,8.54,0
Thomas Davis Car - LB,8.66,8.42,8.52,8.66,8.26,8.8,,8.83,8.58,8.59,8.9,8.37,8.66,8.77,9.22,8.68,8.6,0
Kwon Alexander TB - LB,8.4,8.79,8.6,8.82,8.39,,8.41,8.49,8.89,8.98,8.05,8.86,9,9.03,8.36,8.51,8.8,0
Preston Brown Buf - LB,8.88,9.14,9.31,8.32,8.49,8.44,8.07,9.04,8.63,,8.4,8.56,8.26,8.88,8.7,8.57,8.29,0
Malcolm Smith Oak - LB,9.03,8.85,8.25,8.63,9.26,8.2,8.29,8.67,8.68,,9.1,8.64,8.57,8.23,8.82,8.14,8.54,0
Denzel Perryman SD - LB,8.05,9.26,8.04,9.01,8.44,8.35,8.83,8.43,8.21,8.46,,8.99,8.47,8.44,8.02,8.65,8.88,0
K.J. Wright Sea - LB,8.26,8.38,8.46,8.57,,8.5,8.82,8.77,8.5,8.45,8.64,8.56,8.51,8.37,8.5,8.73,8.14,0
Mason Foster Was - LB,8.6,8.85,8.94,8.53,8,8.73,8.32,8.22,,8.58,8.5,8.26,8.48,8.09,8.72,8.24,9.03,0
Danny Trevathan Chi - LB,9.16,8.6,8.84,8.24,8.1,7.92,8.3,8.19,,8.63,9.65,8.17,7.89,8.51,8.04,8.53,8.34,0
Vontaze Burfict Cin - LB,0,0,0,0,11.2,10.91,10.77,11.33,,12.58,10.98,10.71,11.02,10.71,10.92,11.95,10.96,0
Kiko Alonso Mia - LB,8.55,8.5,7.94,8.26,8.18,8.38,8.22,,8.3,9.21,8.36,8.46,8.1,8.57,8.24,8.21,8.26,0
Will Compton Was - LB,8.47,8.73,8.81,8.4,7.81,8.6,8.17,8.07,,8.45,8.36,8.11,8.32,7.92,8.58,8.07,8.41,0
David Harris NYJ - LB,8.43,8.45,8.37,8.53,8.44,8.51,8.14,8.08,8.03,8.32,,8.33,8.03,7.95,8.01,8.33,8.76,0
Paul Posluszny Jax - LB,7.77,9.17,7.72,7.48,,8.64,7.63,8.51,8.38,8.27,8.54,9.21,8.02,7.96,9.28,7.93,7.93,0
Ben Heeney Oak - LB,8.7,8.52,7.92,8.29,8.88,7.82,7.95,8.29,8.32,,8.7,8.25,8.18,7.87,8.47,7.81,8.19,0
Avery Williamson Ten - LB,8.19,8.52,8.01,8.97,7.97,8.06,7.81,8,9.14,8.13,8.04,8.29,,8.36,7.99,7.45,8.44,0
Demario Davis Cle - LB,8.64,8.96,8.43,9.59,8.03,7.88,7.95,7.84,7.91,7.75,7.89,7.9,,7.92,8.35,8.13,8.04,0
Corey Graham Buf - S,7.75,8.6,8.78,7.86,8.07,7.99,7.67,8.55,8.15,,7.95,8.09,7.84,8.41,8.24,8.11,7.83,0
Zach Brown Buf - LB,8.66,8.51,8.69,7.79,7.96,7.91,7.57,8.44,8.07,,7.87,8.01,7.74,8.3,8.14,8.02,7.77,0
Khalil Mack Oak - DE,9.17,9.05,7.74,7.89,8.58,7.55,7.75,7.85,8.05,,8.39,7.83,7.76,7.6,8.23,7.66,8.31,0
Jerrell Freeman Chi - LB,8.71,8.23,8.38,7.83,7.7,7.51,7.89,7.78,,8.19,9.19,7.76,7.5,8.08,7.65,8.1,7.93,0
Mychal Kendricks Phi - LB,7.78,7.89,7.95,,7.96,8.04,7.99,8.16,7.83,8.14,7.97,7.72,7.98,8.92,7.78,7.87,8.23,0
Kevin Minter Ari - LB,7.94,8.24,8.01,7.92,7.97,7.82,7.94,7.9,,7.56,7.73,7.85,8.09,7.52,8.1,8,7.86,0
Manti Te'o SD - LB,7.39,8.51,7.48,8.4,7.88,7.73,8.22,7.8,7.57,7.84,,8.26,7.78,7.71,7.49,7.95,8.12,0
Deion Jones Atl - LB,7.52,8.11,8.13,7.86,7.99,8.01,7.99,7.6,7.95,7.68,,7.98,7.81,7.81,7.43,7.86,8.03,0
Anthony Barr Min - LB,7.65,8.22,7.33,8.78,7.91,,7.76,7.7,7.89,8.44,7.97,7.87,7.71,7.44,7.51,7.7,7.86,0
Landon Collins NYG - S,8.34,7.41,8.72,7.23,7.28,8.25,7.39,,7.26,8.28,7.33,8.04,8.24,7.32,7.4,8.35,7.75,0
Sam Barrington GB - LB,7.03,7.23,8.19,,7.89,7.87,7.99,7.82,7.43,7.64,8.53,7.66,8.03,7.9,7.77,7.72,7.83,0
Jelani Jenkins Mia - LB,7.96,7.89,7.38,7.69,7.6,7.71,7.69,,7.7,8.48,7.84,7.86,7.48,7.97,7.64,7.68,7.64,0
Brian Cushing Hou - LB,8.13,8.15,7.63,7.75,7.4,7.4,7.64,7.99,,6.8,7.4,8.11,7.43,7.27,7.59,7.94,7.7,0
Christian Kirksey Cle - LB,8.12,8.29,7.9,8.88,7.47,7.29,7.41,7.34,7.38,7.26,7.37,7.38,,7.37,7.73,7.56,7.49,0
Dannell Ellerbe NO - LB,7.61,7.41,8.11,7.85,,7.52,7.34,7.75,7.73,7.64,7.63,7.61,7.72,7.26,7.84,7.26,7.6,0
Kenny Vaccaro NO - S,7.48,7.25,7.93,7.71,,7.37,7.22,7.59,7.6,7.49,7.45,7.47,7.57,7.11,7.72,7.11,7.45,0
Robert Quinn LA - DE,7.11,7.72,6.78,7.36,7.33,7.43,8.05,,7.19,7.24,7.15,7.59,7.48,7.38,7.22,7.1,8.35,0
Paul Worrilow Atl - LB,7.17,7.49,7.65,7.49,7.45,7.46,7.43,7.1,7.46,7.23,,7.48,7.3,7.43,6.95,7.4,7.46,0
Kelvin Sheppard NYG - LB,7.96,6.93,8.36,6.78,6.8,7.84,6.94,,6.74,7.9,6.83,7.64,7.82,6.86,6.92,7.96,7.63,0
Harrison Smith Min - S,7.13,7.35,6.83,8.28,7.45,,7.33,7.29,7.41,7.92,7.57,7.37,7.29,6.93,7.03,7.17,7.25,0
