,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17
Stephen Gostkowski NE - K,8.25,8.04,8.45,8.43,8.29,10.43,8.33,7.9,-,8.88,9.32,8.81,9.84,7.91,8.47,9.2,8.77
Justin Tucker Bal - K,8.53,7.77,7.96,9.35,9.01,8.85,8.74,-,8.72,7.75,9.43,8.95,8.41,8.29,7.65,7.83,9.32
Matt Bryant Atl - K,7.74,7.7,7.67,8.45,8.67,8.66,8.21,8.24,7.26,7.11,-,7.93,8.26,8.2,7.8,7.4,7.95
Chris Boswell Pit - K,6.8,7.69,6.05,7.67,8.4,8.05,8.15,-,7.46,7.37,7.7,7.72,7.25,7.12,7.91,7.24,7.75
Steven Hauschka Sea - K,7.42,8.38,7.27,8.17,-,7.98,7.31,5.93,7.13,7.12,7.94,6.19,7.36,6.85,7.74,7.53,7.72
Josh Brown NYG - K,7.8,6.9,7.49,8.24,7.64,7.82,8.12,-,7.17,7.47,7.86,6.51,6.95,7.29,6.38,6.74,7.34
Mason Crosby GB - K,7.15,8.16,6.67,-,7.44,8.04,7.25,7.1,7.13,6.36,7.71,6.92,7.3,7.37,6.61,7.21,7.68
Matt Prater Det - K,7.18,6.92,7.29,7.01,7.4,8.71,7.26,6.85,7.57,-,7.51,7.33,6.26,6.79,6.11,7.25,8.01
Blair Walsh Min - K,6.75,8.08,7.38,7.9,7.96,-,6.97,6.67,6.93,6.51,8.12,6.97,7.42,6.51,6.81,6.63,7.76
Josh Lambo SD - K,7.18,7.15,7.54,7.02,7.5,8.03,7.28,7.67,6.78,6.71,-,7.13,6.6,6.7,6.75,6.44,7.73
Nick Novak Hou - K,7.09,7.43,7.64,7.17,8.03,7.6,7.72,6.34,-,6.26,7.47,7,7.01,6.85,6.35,7.33,6.88
Cairo Santos KC - K,7.26,7.36,7.06,7.47,-,7.68,6.75,7.07,7.09,6.7,7.24,7.61,7.07,6.98,6.38,7.02,7.22
Adam Vinatieri Ind - K,6.45,7.61,7.47,6.75,7.52,7.75,6.25,7.11,7.07,-,7.18,6.89,7.23,6.9,6.92,6.82,7.37
Dustin Hopkins Was - K,6.9,7.06,7.02,7.05,6.97,7.27,6.73,7.15,-,6.63,7.5,7.04,6.71,6.33,6.2,6.44,6.97
Graham Gano Car - K,7.44,7.27,7.01,7.38,6.74,6.64,-,6.75,7.5,6.7,6.86,6.5,7.24,6.47,5.9,6.48,6.48
Phil Dawson SF - K,7.36,6.73,7.03,7.31,7.08,7.17,6.48,-,6.31,6.3,7.29,6.37,6.47,6.7,6.22,6.93,7.05
Nick Folk NYJ - K,7.46,6.58,6.67,7.74,6.77,7.25,6.73,5.83,6.26,7.14,-,7.08,6.69,6.27,6.23,6.71,7.11
Chandler Catanzaro Ari - K,6.97,7.12,6.51,7.73,6.85,7.49,7.11,6.04,-,6.32,7.54,6.16,6.36,5.71,5.24,6.83,7.67
Brandon McManus Den - K,6.98,7.02,6.95,6.36,7.11,6.85,7.02,6.7,6.46,5.74,-,6.94,6.15,5.75,6.69,6.11,7.29
Dan Bailey Dal - K,6.63,6.49,6.7,7.05,7.69,7.26,-,6.15,5.86,5.96,7.06,6.57,7.03,5.92,5.68,6.18,6.77
Robbie Gould Chi - K,6.77,6.44,6.84,6.66,7.12,6.9,6.57,6.4,-,5.71,6.95,6.06,6.6,6.25,6.23,6.09,7.26
Cody Parkey Phi - K,6.19,6.09,6.22,-,6.5,6.67,6.43,6.47,6.13,5.69,6.87,6.35,6.78,5.91,5.64,5.9,6.53
Dan Carpenter Buf - K,5.7,6.57,6.04,6.64,7.01,6.88,5.62,6.24,6.52,-,7.21,5.91,5.75,5.97,5.22,5.46,6.77
Mike Nugent Cin - K,6.23,5.79,6.19,6.54,6.66,6.7,5.92,5.84,-,5.47,6.31,5.66,5.87,5.26,5.63,5.86,6.15
Travis Coons Cle - K,5.73,5.82,5.85,6.17,6.4,6.01,6.45,5.88,6.03,5.42,6.23,5.66,-,6,5.33,5.62,5.96
