,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
D. Johnson Ari - RB,15.14,15.63,16.76,17.31,17.52,14.53,14.06,14.77,0,17.06,15.46,15.34,17.78,18.12,17.59,14.11,15.77,0
D. Freeman Atl - RB,14.96,14.81,17.26,15.13,13.82,13.36,16.04,15.86,15.99,16.33,0,14.15,15.31,16.11,16.55,14.53,16.22,0
T. Gurley LA - RB,16.28,12.99,15.76,14.73,15.75,15.84,16.94,0,15.37,12.51,16.09,16.43,15.06,16.32,12.65,18.91,13.86,0
A. Peterson Min - RB,13.95,15.18,13.86,16.58,13.95,0,16.8,15.39,16.3,14.51,12.47,14.71,16.2,15.49,15.71,16.29,14.99,0
L. Miller Hou - RB,14.85,13.8,14.67,15.59,15.09,15.78,12.83,15.01,0,14.04,13.63,15.26,15.59,16.77,14.83,14.27,14.25,0
E. Elliott Dal - RB,14.9,14.37,15.39,15.97,13.29,14.4,0,15.97,16.47,12.61,13.33,14.81,14.63,15.49,13.49,14.92,15.2,0
J. Charles KC - RB,15.31,13.86,13.24,14.16,0,14.47,16.4,16.03,16.48,12.83,13.81,12.65,14.91,15.67,14.94,13.77,15.02,0
L. McCoy Buf - RB,13.29,12.4,13.58,13.92,14.57,15.94,15.3,13.74,12.87,0,12.48,14.4,14.46,14.06,15.53,16.86,11.95,0
M. Ingram NO - RB,13.87,14.79,14.7,15.43,0,13.34,13.37,12.43,16.81,12.25,12.35,14.58,15.33,14.45,12.68,14.77,13.45,0
D. Martin TB - RB,12.47,11.71,13.78,12.16,11.77,0,14.16,13.05,14.05,13.1,11.44,11.08,14.21,15.47,13.63,15.08,11.84,0
E. Lacy GB - RB,11.97,12.37,12.99,0,13.69,13.16,13.11,11.95,14.78,11.74,12.11,13.89,12.39,11.27,12.92,13.57,12.45,0
L. Bell Pit - RB,0,0,0,15.52,14.11,16.26,14.94,0,15.87,15.37,15.33,16.14,17.14,15.71,14.21,15.74,16.18,0
C. Hyde SF - RB,12.71,10.97,10.78,13.97,11.64,12.2,12.31,0,15.29,10.62,11.44,13.18,13.8,11.71,11.92,13.63,10.63,0
C. Anderson Den - RB,10.87,13.01,11.71,12.07,12.2,12.68,11.65,13.12,12.84,12.51,0,11.46,12.63,12.8,11.62,11.99,11.98,0
M. Forte NYJ - RB,10.89,11.48,11.56,10.9,11.05,10.75,11.93,12.84,14,11.99,0,11.45,13.62,13.79,13.1,11.88,11.84,0
L. Murray Oak - RB,13.19,11.95,13.02,11.16,12,10.71,11.1,10.64,10.72,0,10.17,10.25,11.68,10.91,11.38,12.8,9.45,0
