,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
R. Gronkowski NE - TE,11.92,12.15,11.4,12.35,12.78,12.4,12.74,12.86,0,11.96,13.15,12.56,12.68,13.21,12.47,11.77,12.6,0
J. Reed Was - TE,12.11,11.39,12.18,12.31,11.9,12.36,12.21,11.62,0,11.28,11.15,11.43,11.55,12.2,11.71,10.96,11.68,0
C. Fleener NO - TE,10.61,10.62,10.28,10.2,0,10.65,10.09,9.69,11.06,9.86,10.23,9.81,10.57,10.68,9.74,9.88,9.74,0
G. Olsen Car - TE,10.23,10.42,9.87,10.82,10.75,10.94,0,10.15,10.48,9.96,10.48,10.18,9.62,9.83,9.95,9.56,10.1,0
D. Walker Ten - TE,9.13,9.45,9.21,9.38,9.45,9.46,9.35,9.65,9.31,8.74,9.32,9.07,0,9.01,8.88,8.89,8.58,0
T. Kelce KC - TE,8.93,8.92,8.86,9.51,0,9.37,9.41,9.46,9.88,9.1,9.3,8.82,9.18,9.15,9,8.39,8.41,0
Z. Ertz Phi - TE,9.13,8.77,8.94,0,9.3,9.09,8.8,8.92,9.81,8.93,8.3,8.59,8.77,8.98,8.75,8.78,8.42,0
G. Barnidge Cle - TE,9.15,8.75,8.88,9.06,8.61,9.05,8.5,8.62,8.91,8.62,8.66,8.99,0,8.38,8.51,7.83,8.36,0
J. Witten Dal - TE,8.86,8.15,8.12,8.77,8.06,8.08,0,8.66,9,8.42,8.43,8.4,8.31,8.87,8.73,8.15,8.3,0
A. Gates SD - TE,8.26,8.42,8.34,8.83,8.31,8.21,8.24,8.15,8.78,8.25,0,7.97,8.57,8.33,8.06,7.7,7.75,0
J. Thomas Jax - TE,7.94,7.76,8.11,8.64,0,8.34,8.22,8.48,8.49,7.82,8.35,8.09,8.02,7.91,7.85,7.7,7.95,0
M. Bennett NE - TE,7.56,7.72,7.25,7.82,8.06,7.84,8.04,8.12,0,7.57,8.3,7.94,8.01,8.33,7.88,7.46,7.97,0
J. Graham Sea - TE,8.16,7.52,7.93,7.92,0,8.06,7.63,8.34,8.3,7.55,7.91,8.11,8.03,7.48,7.4,7.09,7.6,0
D. Allen Ind - TE,8.3,7.56,7.47,8.44,7.81,7.83,7.95,7.9,7.85,0,7.89,7.86,7.62,7.65,7.47,7.28,7.73,0
Z. Miller Chi - TE,7.5,7.67,7.35,7.94,7.72,7.96,7.26,7.47,0,7.64,7.7,7.55,7.78,7.72,7.12,7.09,7.08,0
C. Clay Buf - TE,7.69,7.27,7.25,7.64,7.36,7.87,7.66,7.47,7.38,0,7.22,7.68,7.59,7.56,7.37,7.14,6.98,0
E. Ebron Det - TE,7.62,7.42,6.93,7.47,7.58,7.31,7.35,7.29,7.55,0,7.52,7.1,7.65,7.3,7.48,6.73,6.77,0
J. Cameron Mia - TE,6.79,6.95,7.11,7.12,7.32,7.39,7.16,0,7.35,6.76,6.83,7.25,7.24,6.96,6.8,6.64,6.65,0
K. Rudolph Min - TE,6.84,6.36,6.68,7.23,6.57,0,6.85,6.71,7.21,6.51,6.47,6.77,6.57,6.85,6.65,6.03,6.33,0
T. Eifert Cin - TE,0,0,0,0,8.71,8.83,8.85,8.9,0,8.96,8.72,8.67,9.06,8.76,8.68,8.11,8.46,0
C. Walford Oak - TE,6.84,6.4,6.36,6.64,6.09,6.38,6.59,6.76,6.54,0,6.04,6.38,6.38,6.25,5.93,5.97,5.86,0
J. Cook GB - TE,6.62,6.11,6.37,0,6.6,6.22,6.18,6.41,6.77,6.31,6.13,6.46,6.11,5.83,6.14,5.63,6.18,0
V. Green Den - TE,5.93,5.81,5.58,6.15,5.82,5.67,5.63,5.63,6.06,5.85,0,5.65,5.96,5.81,5.57,5.41,5.58,0
M. Williams Bal - TE,6,5.87,6.02,6.13,5.64,6.02,5.51,0,5.99,5.61,5.49,5.38,5.79,5.54,5.67,5.33,5.27,0
L. Green Pit - TE,5.45,5.14,5.45,5.46,5.22,5.56,5.22,0,5.65,5.1,5.27,5.4,5.59,5.33,5.06,4.98,5.08,0
