,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Average Pick
A. Brown Pit - WR,22.03,21.03,22.17,22.03,21.3,22.5,21.29,0,22.74,20.73,21.5,21.82,22.49,21.61,20.64,20.41,20.86,0
J. Jones Atl - WR,20.08,19.09,19.62,20.1,18.91,18.48,18.49,18.72,20.48,19.29,0,18.47,18.98,18.71,19,18.22,18.75,0
O. Beckham Jr. NYG - WR,15.53,16.15,15.29,15.83,15,15.96,15.08,0,18.83,14.68,15.09,15.4,15.7,15.03,15.51,14.93,14.65,0
D. Hopkins Hou - WR,14.67,14.3,14.04,15.39,14.29,15.15,14.11,15.18,0,14.67,14.29,13.84,13.89,14.78,14.7,13.17,13.87,0
D. Bryant Dal - WR,14.59,13.35,13.38,14.42,13.26,13.26,0,14.27,14.81,13.78,13.88,13.78,13.66,14.56,14.32,13.33,13.62,0
J. Landry Mia - WR,13.05,13.47,13.99,13.81,14.16,14.06,13.88,0,14.14,13.29,13.37,14.13,13.85,13.47,13.16,13.12,13.05,0
A. Green Cin - WR,13.04,13.1,12.79,13.82,13.6,13.8,13.95,14.02,0,14.14,13.67,13.64,14.3,13.81,13.62,12.59,13.23,0
B. Marshall NYJ - WR,14.3,14.46,14.27,14.16,14.78,14.53,12.88,13.09,13.82,12.27,0,12.42,13.09,13.11,12.76,11.75,12.18,0
A. Jeffery Chi - WR,13.32,13.65,13.02,14.12,13.73,14.2,12.78,13.26,0,13.53,13.62,13.44,13.83,13.71,12.57,12.48,12.49,0
K. Allen SD - WR,12.82,13.06,12.93,13.68,12.9,12.75,12.77,12.64,13.6,12.79,0,12.36,13.28,12.9,12.51,11.95,12.04,0
B. Cooks NO - WR,12.95,13.01,12.55,12.54,0,12.98,12.38,11.92,13.5,12.01,12.49,12.04,12.92,13,11.92,12.11,11.91,0
M. Evans TB - WR,13.04,12.31,12.05,12.77,12.85,0,12.86,12.83,13.34,12.18,12.16,11.53,12.09,13.09,12.04,12.06,12.08,0
A. Robinson Jax - WR,12.15,11.86,12.39,13.2,0,12.75,12.54,12.9,12.98,11.9,12.72,12.3,12.25,12.07,11.92,11.72,12.14,0
G. Tate Det - WR,12.85,12.65,11.9,12.65,12.9,12.46,12.27,12.25,12.61,0,12.61,11.9,12.69,12.18,12.4,11.28,11.43,0
J. Nelson GB - WR,13.33,12.01,12.5,0,12.93,12.26,12.16,12.54,13.21,12.3,12.08,12.58,12.03,11.51,11.95,11.18,12.08,0
J. Edelman NE - WR,11.73,12.02,11.33,12.15,12.53,12.19,12.46,12.57,0,11.74,12.88,12.29,12.48,12.86,12.19,11.64,12.4,0
A. Cooper Oak - WR,12.92,12.13,12.1,12.59,11.64,12.14,12.46,12.75,12.42,0,11.52,12.08,12.11,11.85,11.27,11.39,11.18,0
R. Cobb GB - WR,12.74,11.54,12.01,0,12.43,11.76,11.69,12.02,12.74,11.82,11.56,12.17,11.56,11,11.56,10.81,11.64,0
E. Decker NYJ - WR,12.59,12.78,12.48,12.41,12.85,12.72,11.41,11.65,12.24,10.91,0,11.01,11.52,11.64,11.38,10.44,10.85,0
S. Watkins Buf - WR,12.01,11.4,11.41,11.99,11.59,12.32,11.96,11.7,11.6,0,11.36,11.97,11.88,11.8,11.45,11.15,10.95,0
D. Thomas Den - WR,12.02,11.72,11.2,12.51,11.74,11.43,11.32,11.35,12.3,11.83,0,11.35,12.06,11.75,11.15,10.79,11.17,0
