Team,Type,Wk1,Wk2,Wk3,Wk4,Wk5,Wk6,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,Wk15,Wk16,Wk17
Beep Boop Beep,performance,176.92,90.05,152.65,169.09,107.27,112.13,,,,,,,,,,,
Beep Boop Beep,projection,138.91,139.15,138.13,135.45,143.99,132.12,,,,,,,,,,,
Big Hog,performance,139.34,149.63,222.98,115.23,154.79,120.27,,,,,,,,,,,
Big Hog,projection,137.25,137.88,140.93,136.97,147.07,136.09,,,,,,,,,,,
craigbear,performance,157.99,158.36,157.16,117.31,155.73,109.06,,,,,,,,,,,
craigbear,projection,128.23,135.29,141.42,141.69,134.62,134.12,,,,,,,,,,,
Drinking & Sex,performance,134.72,126.07,128.41,109.55,133.21,154.53,,,,,,,,,,,
Drinking & Sex,projection,138.54,149.65,135.67,146.65,133.29,134.88,,,,,,,,,,,
Graybo,performance,123.92,146.89,124.57,141.79,164.04,120.47,,,,,,,,,,,
Graybo,projection,139.14,141.44,122.15,139.06,150.44,145.7,,,,,,,,,,,
Hweedo,performance,156.53,144.87,143.09,112.97,103.19,145.74,,,,,,,,,,,
Hweedo,projection,141.51,133.51,149.04,130.91,126.2,152.5,,,,,,,,,,,
Meek and Mills,performance,131.65,144.43,129.09,189.2,141.75,92.28,,,,,,,,,,,
Meek and Mills,projection,136.99,138.93,148.34,142.08,132.07,143.84,,,,,,,,,,,
PHatty's,performance,147.29,148.21,108.44,191.6,116.03,166.34,,,,,,,,,,,
PHatty's,projection,145.23,150.82,168.14,151.81,147.46,134.15,,,,,,,,,,,
rem dogz,performance,183.57,113.32,160.93,162.51,155.23,146.08,,,,,,,,,,,
rem dogz,projection,153.88,151.63,149.78,151.01,134.62,154.71,,,,,,,,,,,
Schmop,performance,167.47,163.93,166.65,121.35,146.09,159,,,,,,,,,,,
Schmop,projection,136.4,152.99,147.59,156.13,152.18,146.85,,,,,,,,,,,
Spartans,performance,127.68,115.74,137.88,129.33,111.99,124.9,,,,,,,,,,,
Spartans,projection,137.92,144.71,151.87,137.37,146.38,135.04,,,,,,,,,,,
The Bugs of June,performance,125.1,141.01,111.92,123.31,147.07,154.03,,,,,,,,,,,
The Bugs of June,projection,137.5,130.99,137.3,132.64,147.32,161.03,,,,,,,,,,,
The Dukes of Schneid,performance,144.41,159.39,156.34,120.32,113.95,120.28,,,,,,,,,,,
The Dukes of Schneid,projection,155.27,155.58,160.24,157.4,153.57,146.03,,,,,,,,,,,
tmacastar,performance,167.25,132.88,100.05,150.33,150.68,136.66,,,,,,,,,,,
tmacastar,projection,142.31,133.15,149.54,115.62,139.25,140.95,,,,,,,,,,,
